stage_id,stage_name,team_id,name,user,score
,OVERALL RACE,9e349a9f71d5a40822985a7ab41e3d5e11g,Toledo Mud Hens,Garfooble,1928
,OVERALL RACE,6s59108e94ac633df9d3f25270aa1f2b3ct,Hver er þetta?,Theros,1622
,OVERALL RACE,13ka17bbb2fd0b5ed38f7cf5b9745b099a8M,The Witch`s Cloves,Hanne Garlick,1548
,OVERALL RACE,11hc16e3d6b73defffbc546a042dfa8b79bc,BTS (Bicycles: Three Stefans),Darla,1380
,OVERALL RACE,21x9f71a9db81a9b157bb9241ae6c05173el,Glass Blockx,Lost Planet of Merckx,1299
,OVERALL RACE,79c297664b1976c0618f2b715691361aa4d,The 3495s,dan3459,1269
,OVERALL RACE,9s5958f281521a0081418c53188af91030s,Critical Race,Commandant,1269
,OVERALL RACE,11e448a1be346e4f72c0cfac4bba233d065a,Never Go Full Polkadot,an_username,1241
,OVERALL RACE,1172bac393142c2a4ab50f0f76954d9e571J,Cancellara Culture Cycling Club,Jconley4297,1228
,OVERALL RACE,13l8bbb705e2a6ff86f8c5fb9147f8ff71am,la planche des belles hommes,katje,1212
,OVERALL RACE,7s23fbf89f8add6166418a7fe958e5db17s,les abeilles,sixbees,1182
,OVERALL RACE,5S5a93e7a24772ca2d8f06cd74cf9410d6A,Fenland Mountaineers,Al__S,1059
,OVERALL RACE,9e8fa90fba09b485f82396293819dc439bb,Sag Wagoneers,andrew MKE,1046
,OVERALL RACE,116eac9e55bca15ecf0fe1f3b013d0f7ccas,Les Sans Maillots,Sarah,985
,OVERALL RACE,9ta5336886ee0b8c9f6a667c71ccb6f392F,The Go Go Boys,Whoosh!,942
,OVERALL RACE,6c38690d94cad68fc8ab02f5e8e8d7e55cG,Pinot`s Goats,Allez-dric,771
,OVERALL RACE,5v4f2d20651767184e3c099f0f94dd069do,Money or tricycle?,osrjv,488
1,Raceday 1,13ka17bbb2fd0b5ed38f7cf5b9745b099a8M,The Witch`s Cloves,Hanne Garlick,563
1,Raceday 1,79c297664b1976c0618f2b715691361aa4d,The 3495s,dan3459,547
1,Raceday 1,11hc16e3d6b73defffbc546a042dfa8b79bc,BTS (Bicycles: Three Stefans),Darla,539
1,Raceday 1,9s5958f281521a0081418c53188af91030s,Critical Race,Commandant,527
1,Raceday 1,9e349a9f71d5a40822985a7ab41e3d5e11g,Toledo Mud Hens,Garfooble,520
1,Raceday 1,11e448a1be346e4f72c0cfac4bba233d065a,Never Go Full Polkadot,an_username,517
